tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,Av_ISM,mu,slope_ISM,slope_BC,imf,metallicity,qpah,umin,alpha,gamma,separation_age,redshift,filters
2606.0957086255576,6793.88860748417,6567.850513111653,0.1997402366964922,98.85750956872556,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.2749088065652,7961.552507289991,163.26016390106633,0.19735628235367558,10.003934257660177,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2312.348763611584,1934.5685235153805,7964.701681560403,0.05237012057319304,95.39252856014306,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2658.930373664282,1000.0003465087138,3159.7355267107823,0.015698699857211368,97.13358732612737,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2769.0018636572813,1000.2768014097655,6665.105784670419,0.001034940541815521,34.998296493547215,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2960.0776599182277,1188.246517995718,193.07853631068792,0.06158893506915977,99.96442224257412,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2980.0976553987834,3741.7493746562186,3030.3220870245905,0.06172765935302271,66.5881258872829,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.198271247226,1494.8512836664086,520.6900325792758,0.0693386346629142,19.747042262858542,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1970.4569626270456,1372.2197128220414,3005.0837501215337,0.19994439450185664,51.137997851292624,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2588.1730418773923,1713.152169759971,9396.189592478528,0.1985625527533911,20.571684783797423,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2771.8056042993912,1152.946185738112,2452.57610772492,0.13995702661276807,24.524131600247642,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2952.0502393011216,2208.6738713238865,5584.6981225667505,0.18157859874496193,89.1434563898,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2575.5667967039735,5103.69108745184,122.33689171298283,0.19663989555753383,84.8329965423107,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2935.9893839540164,1002.5597184716189,1657.9574009918379,0.02255562557750901,99.94014781619187,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2535.230720746967,1059.005205241312,2176.1933311160437,0.02040332107864601,94.35504240698616,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1603.7092581005109,1000.003862224643,4906.14867739462,0.1822005203203766,12.698823935818197,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1556.667764715518,5377.231035096341,5298.260190943304,0.17123935315006403,99.86379562994824,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2991.920383792408,8091.74484567327,7494.983923544727,0.1474830975166083,63.209585230688724,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1563.1641966043712,8065.495836099413,188.10302682366637,0.16558316893728797,78.83740486581114,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2125.2562367267515,8582.513163637077,1012.9276903881455,0.12259015364398085,47.28338478136431,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2514.772860026147,1000.0009335780487,6732.281506538901,0.1865094818133082,96.1199161648857,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2958.9460758276837,6086.802098143596,131.8946265114282,0.005942123125635412,95.31183760091172,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2987.7209232657497,1355.6402030240988,6185.541084515364,0.06024027959817918,65.09177588835323,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.7463927877347,1001.324805268283,100.79065168142733,0.1898307442455383,91.40869939056994,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2517.851703722105,1579.3000114500574,451.4190720616007,0.00036554992222126437,84.44048418532296,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2985.5960448467245,9337.271476261398,7288.596536252882,0.14730700243660433,10.604761036256477,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
