sfh.sfr,stellar.m_star
4.0148716117064405e-16,3.618353682143042e-08
5.92741500775699e-16,2.4374496277800054e-07
1.651391106138245e-15,2.2834408130350262e-06
2.0473484214771167e-15,6.797128622943721e-05
2.5917150959404133e-16,4.5153055788650683e-07
1.4195646038775638e-16,3.599636432528551e-08
1.476499801440754e-14,3.0373817031216523e-06
3.01471779335126e-15,1.1084208049423245e-06
7.268788156565228e-15,9.808484675037778e-06
7.299816734509722e-15,3.3122979208709166e-05
7.25674056183383e-16,1.8770867303043332e-07
1.1724617657834556e-16,2.003555605121902e-08
7.610211911175712e-16,2.1526752845327512e-07
2.4424649773968017e-14,2.5326011098827246e-06
1.1199023866158071e-15,1.631135593633534e-06
4.37341014927848e-16,1.5149379932172312e-08
4.5196510799404716e-15,4.445041405254912e-05
2.3004681320814206e-15,1.5744775779148085e-06
1.1645911642824918e-15,4.106908819474219e-07
7.609875430404465e-15,1.5039947710875492e-06
4.69618433209714e-14,1.7944026818920528e-06
3.961882846006882e-16,4.174348713303574e-07
2.8852587195995613e-15,7.370551723071704e-07
2.671282772925807e-15,6.318211252743419e-07
1.832165911429933e-14,1.1956615216093444e-06
2.7280447843675954e-15,7.177067562268269e-07
5.005046287357872e-15,3.232595167800448e-05
3.3947967561907252e-15,3.153034558268408e-06
2.9536068172850015e-16,1.117765495217627e-07
6.741884171242868e-15,2.306774779904945e-05
3.892510635389486e-16,4.980368888808361e-08
1.2391292497364651e-14,1.5905564958238324e-06
1.9303500224116817e-14,5.789841692739193e-06
2.792308662118657e-16,1.164135748659165e-07
1.1146410518000626e-15,4.301920506157812e-07
2.3846081111776184e-14,3.903305278689609e-06
1.2891341627107857e-15,3.3125320471323277e-06
2.2628461522946528e-14,3.851287399722057e-06
8.819849561233102e-16,3.5901396776103997e-07
2.2518078132056347e-15,2.403042263731338e-07
2.2210578566386466e-16,6.76772947247478e-08
1.0093289439261427e-16,1.6037997343172004e-06
3.868363528037646e-15,1.6434867031402875e-06
1.2217228917462209e-14,4.708820232829122e-06
2.01468720959893e-15,1.0570295698742231e-05
2.87715913384383e-15,1.230021740034393e-05
6.187625791100183e-17,4.129767331513628e-09
2.16138092171591e-15,1.1554994669867885e-06
1.0879015275581725e-15,4.0767066165944957e-07
1.2206835768036889e-14,2.0898428986855913e-06
1.0448564817110628e-14,2.6456961005270097e-06
1.691514801595748e-14,1.651272549290394e-05
1.199858461779182e-15,3.5305763082643198e-06
1.8830330691402887e-14,5.221321626323911e-06
2.011519258405788e-15,7.311074944558426e-07
1.2579156863460793e-14,3.622689650351278e-06
1.8767353695626437e-14,6.924732911962033e-06
2.6972515501630736e-14,3.966566623024574e-06
9.713169951695036e-15,6.6797013691338456e-06
2.7640186148599954e-14,2.3699738050036087e-06
1.6774234019060003e-15,8.353252909087864e-08
6.49821882599454e-16,1.4903856186713165e-07
2.1059697246452586e-15,2.403427649815356e-05
2.904517231514518e-14,1.0944791677056066e-06
3.142980986550669e-15,6.346841971284331e-06
1.8331051873624397e-14,4.86272040523012e-06
4.140330772444263e-16,1.4329473679016187e-07
8.297969628450708e-15,3.0225095048523324e-06
6.631986175420631e-16,4.558289994064791e-07
1.3275005906826966e-16,2.0140907293608594e-08
1.665342450367358e-14,3.7894273088268745e-06
1.7219817774741367e-14,8.51942033119806e-06
3.9924140215214473e-16,1.0519941505699326e-07
5.939316066424476e-15,6.023379189934501e-07
2.2921907060374828e-15,9.349014216896578e-07
6.852898241521847e-16,6.385938040120699e-07
9.748839176609916e-16,6.904195990533511e-06
7.786379165049722e-16,3.324059969675689e-07
5.6849390024702e-15,2.1043045220324515e-06
8.266480607032817e-16,9.194207495503975e-08
2.8915132436180135e-16,4.967338188081458e-07
2.565152517268099e-14,2.636394320846718e-06
2.0795307040850625e-14,4.754264881865432e-06
2.9468504790575925e-16,6.538589428644006e-07
2.6728962063069272e-14,2.5090072091137835e-06
2.4747893456960913e-14,1.2975005416527636e-06
5.355467949622799e-15,4.9837420702092194e-06
