sfh.sfr,stellar.m_star
1.8996684754309297e-16,1.8555775755726853e-07
7.844294853599433e-15,1.0228335396415142e-05
3.370538824381349e-15,1.5789373219095836e-06
6.91572052658814e-16,2.3510943530716054e-07
1.021508272647803e-14,2.5779526782147616e-06
1.1332510932627317e-14,1.949523284628171e-05
6.846047645422512e-15,5.2348911564863904e-05
1.164571566367465e-15,5.024078987410054e-06
2.486140312156463e-14,4.171652859888992e-06
1.1502350102991607e-16,7.554171958710325e-09
3.0448270837623857e-15,6.083943007008344e-07
1.54174635767644e-14,1.7391911271053883e-05
6.679558435544397e-15,2.0583644095638754e-06
3.8449184182226877e-16,1.0320517576089604e-07
5.64199221490607e-15,2.128128788760515e-06
6.814083678443537e-15,4.157184796464795e-06
1.804210172937084e-14,5.660070754776396e-06
1.2809523139103042e-15,1.229357444364647e-05
1.164158312463363e-16,5.212610944406461e-09
2.1461402938475202e-14,3.2664626619626974e-06
1.0911928658061864e-14,4.108752556783821e-06
