tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,E_BV_lines,E_BV_factor,uv_bump_wavelength,uv_bump_width,uv_bump_amplitude,powerlaw_slope,Ext_law_emission_lines,Rv,imf,metallicity,qpah,umin,alpha,gamma,separation_age,logU,f_esc,f_dust,lines_width,emission,redshift,filters,weights,MAP
2979.193500239362,7074.42418146662,199.58083549893126,0.04223028073933768,57.700742319697206,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.8870947983187966e-77,0.0
1502.3581258322386,9995.764796155989,8177.191487370596,0.08936586496127152,96.32525825616547,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,10.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,8.892831584569161e-82,0.0
2998.62674338608,1767.6498792719358,123.65877543981514,0.17713448052648567,10.004842026883578,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,5.285259113171087e-84,0.0
2999.9987320257724,6183.313124832015,9719.368956451499,0.11415321479085526,41.33862521088082,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.7311171215134535e-85,0.0
2683.3381245925166,9957.251622395592,3997.6982080509815,0.11016139819003999,32.67145288332706,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,25.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.5713128313129378e-82,0.0
2998.8467320751843,1217.474767360689,8793.93255309549,0.06248091370461903,20.829030964347357,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,4.60812670062303e-80,0.0
2078.605923848685,9901.154576549161,9996.309546178765,0.0005008810310366818,11.44094775262583,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,25.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.6795420290400445e-42,0.0
1516.6892173929507,6721.512335747573,735.1206811453758,0.19276356197891525,26.66827910835888,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,5.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,6.748213572419327e-84,0.0
2593.8857944306337,5119.937826884354,5084.168721088466,0.010553351476366712,95.46250473173131,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,25.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.9246260886702135e-66,0.0
2865.6401918469783,6634.167549796473,898.1121595204713,0.04273681439860197,10.810241437779238,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,5.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,6.519686546980709e-78,0.0
1514.0090416705086,2825.374597133042,3217.270242114064,0.1965815664763,99.7729080651893,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,9.73689576763617e-87,0.0
2998.784945752973,9866.85052144521,1367.6673177249195,0.19894981507028447,10.594833183373904,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.0106204518492569e-84,0.0
2588.5340952601423,9926.671933140175,128.61822159889743,0.003483156890359218,12.914423117213369,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,5.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.5738572367359867e-68,0.0
2513.6780547488524,3272.208691599247,9987.084587064675,0.1798992355507842,84.46701439554849,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,0.47,5.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.929373509745985e-85,0.0
2999.8404713359664,7660.511139179453,3040.3126967742483,0.19076671871041775,61.48638839625498,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,25.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.7521046391785698e-87,0.0
2905.7354600537137,9955.358285338341,1616.1444972012396,0.013107226649458681,14.500346335186492,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,25.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,2.026514706615155e-76,0.0
2611.441052878428,9823.436830652608,7235.452282677324,0.020188349098789,26.50346818224172,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,25.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.34581643135086e-77,0.0
2993.327007996417,6128.077177512692,5073.393882531497,0.1536064390506053,44.57549974804909,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,25.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,4.969654340143042e-84,0.0
