tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,Av_ISM,mu,slope_ISM,slope_BC,imf,metallicity,qpah,umin,alpha,gamma,separation_age,redshift,filters
2431.1806949977768,9966.819135521608,3846.3791933525054,0.19608008777760064,38.663499094850195,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2025.7076950655996,7896.0796044324925,6683.16715821113,0.1898431085418265,80.84231598830135,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1620.3653123377308,8108.645057145906,997.0164124050134,0.15291619555145078,98.23247373510719,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2503.0366590792487,8323.420499233209,6927.892581950251,0.1939546075971245,10.298204015652189,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2362.924998027978,6597.294422120873,2099.484316344153,0.09977985760858343,87.20616881099838,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1812.2288368578736,1120.8935262541036,6786.435825211021,0.15763062830354524,89.00759684714843,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.9830833188116,9617.968507693222,122.93464442018012,0.00023153432015360353,88.16456325349381,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1840.9780469749583,1673.729178065465,100.00003346495396,0.003264050504811211,83.66165228940251,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2957.508877071651,9730.13740404491,2150.651229063814,0.17341717053313946,99.92687418613764,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2872.1759570023796,8509.975840831137,103.50791460400251,0.008464254528873644,78.27303133181043,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1515.5659665033247,2352.0972833617807,8494.982877183582,0.0004576185712664438,46.27462192360577,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2969.541972144139,3553.7039286519794,8552.066662401707,0.19720339594026845,26.179727442089117,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1501.6807255114065,9422.787234784184,843.1340116965785,0.16474368027910657,94.34803201133751,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2848.7919959466776,7516.846649291002,2989.173604557929,0.1785737924091425,62.81889624241235,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2448.4407134307735,3816.3818280340847,8673.995270627169,0.1577262074483745,34.07435840338459,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1903.0773074535002,8071.712362261653,2697.5255823886846,0.013393651688104025,99.98450612844775,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1867.5476874298934,6375.368382479854,824.7787003881222,0.17392781677394853,99.9938496491125,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2998.394053622496,2461.4401770537434,1885.963400520248,0.1829002404432379,40.41393987444309,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2998.6833940313218,2940.8341383568595,9493.354651225258,0.16485064948971886,75.49282615463717,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2938.763529178872,4662.685922472421,235.22598211589684,0.15773828650803082,30.139949075340752,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2979.5474132190957,1310.049010165727,115.18577685029595,0.19999556751589317,98.26215417000557,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1840.5744356757323,3621.228342630565,1428.4158209798334,0.1604016348860566,73.42356083381011,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2547.995346086484,1015.5460941196798,1909.9514194491767,0.043417817764136446,92.7501365795762,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2795.0197106673063,4955.575103918696,1343.9318823240155,0.14051697929006615,61.642030526337415,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1500.6198396545292,1071.7350315427557,5447.052026572598,0.002273369765627087,92.66116560751698,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.8828761303153,8207.566673368838,9972.785753729304,0.13193103671087492,76.96968491882924,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1505.9878376601253,1639.8560462996393,4716.682679789988,0.010228203910070316,99.99971876419451,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2156.3292383749786,1113.904374273132,9821.831196234762,0.0029379462444447946,58.6441531391724,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2751.047191194223,1205.9988383754026,100.0543440790425,0.06084280761251501,64.16280232535551,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2778.5217588705673,7442.613546470918,382.8861175398215,0.18013697109501753,74.2262588339346,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2789.307252452076,1375.4960163393298,1572.3998692192363,0.004610957425181028,94.77530275957417,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2645.59704147253,8077.201040229498,6238.263213133751,0.03948690209831013,33.9924801759216,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2951.5652698670674,1072.253951207338,124.36944777109602,0.0361028406355155,10.4673200165861,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2916.3201531013633,9056.326761269356,9956.070541558873,0.0005294592647329399,39.52034665780783,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2453.666513032158,1745.3823152979476,9319.70381575444,9.272253792547147e-07,71.08552830495157,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2286.744847568396,1139.0027515053662,1063.2194789160549,0.055848352233679316,98.21457272448495,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1928.7047334967713,1000.1424666812418,125.74414836150027,0.0003108525452731048,94.7969681120892,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2962.936334800322,3224.1407837868937,2946.9141363584777,0.0036392715163723055,99.9867119587252,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1512.352207695334,3385.7520967750597,6124.074615427035,0.18802203707292034,99.9829429132212,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1680.0399951209085,2366.8873657821605,9620.43967279912,0.1959226434610287,90.80911877659071,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1506.2195976502267,3931.3484290881315,9839.656627484388,0.11806044692684381,88.93391820263477,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.9993577300006,2887.495617452806,4797.412302591391,0.016056264386081237,10.536370603270981,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1566.799099967345,3983.7456774516086,9275.60292044323,3.2475697217537736e-07,74.8772543247496,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
